iter	RMSE
0	2.981418606
1	2.969373202
2	2.956551134
3	2.944705678
4	2.932687894
5	2.920091085
6	2.908992798
7	2.897184517
8	2.885686592
9	2.873729532
10	2.8628427
11	2.851582321
12	2.840559492
13	2.830030795
14	2.819838625
15	2.810055218
16	2.799018704
17	2.78895548
18	2.779191827
19	2.769224092
20	2.75887484
21	2.74882768
22	2.738711618
23	2.729452879
24	2.720222211
25	2.711670737
26	2.70327292
27	2.694291848
28	2.686016136
29	2.678330305
30	2.670264428
31	2.662228805
32	2.654615944
33	2.646544066
34	2.638931723
35	2.631004649
36	2.623668542
37	2.616563687
38	2.608822137
39	2.600040698
40	2.591963898
41	2.58527688
42	2.578439066
43	2.570783239
44	2.563405922
45	2.556973668
46	2.550194775
47	2.543547314
48	2.536847104
49	2.52987687
50	2.523535005
51	2.517014227
52	2.510454692
53	2.504672805
54	2.498690769
55	2.492072678
56	2.485962006
57	2.479963978
58	2.474308125
59	2.468577038
60	2.463024473
61	2.457288894
62	2.452111908
63	2.446318656
64	2.441071706
65	2.435201638
66	2.429674368
67	2.424592791
68	2.418975397
69	2.414240385
70	2.409366281
71	2.403708065
72	2.399396224
73	2.394139127
74	2.389435023
75	2.384592886
76	2.378821114
77	2.374285625
78	2.369723542
79	2.364971803
80	2.360249361
81	2.354797937
82	2.350653193
83	2.346608936
84	2.34295273
85	2.338679406
86	2.334652503
87	2.33051159
88	2.32700147
89	2.323088538
90	2.318954784
91	2.31546721
92	2.311649406
93	2.307895716
94	2.304559362
95	2.300920068
96	2.297402479
97	2.294065488
98	2.290974933
99	2.287697673
100	2.284281811
101	2.280777771
102	2.277210985
103	2.273984418
104	2.269727722
105	2.266441902
106	2.263006672
107	2.260269149
108	2.257263036
109	2.252784447
110	2.249946051
111	2.247242744
112	2.244404041
113	2.241228864
114	2.239014606
115	2.235946719
116	2.233621278
117	2.22974836
118	2.226812239
119	2.224078906
120	2.221884814
121	2.219514036
122	2.216836567
123	2.214151351
124	2.211700787
125	2.208997462
126	2.20640887
127	2.203462876
128	2.201387986
129	2.198727923
130	2.196233737
131	2.194095907
132	2.191201875
133	2.189090407
134	2.187218365
135	2.184556495
136	2.182453147
137	2.179902822
138	2.17794645
139	2.175783902
140	2.173489199
141	2.171416213
142	2.169423302
143	2.166086305
144	2.164149963
145	2.162105596
146	2.159756596
147	2.157797161
148	2.155139618
149	2.153137471
150	2.150864017
151	2.148975985
152	2.147599755
153	2.145605922
154	2.143931161
155	2.141151163
156	2.136847339
157	2.135224317
158	2.13357087
159	2.132295102
160	2.130852714
161	2.12908228
162	2.127328776
163	2.126122762
164	2.124203657
165	2.122556022
166	2.121056096
167	2.119434166
168	2.117407478
169	2.116447726
170	2.115295784
171	2.114295517
172	2.112094976
173	2.110675019
174	2.109600569
175	2.107425035
176	2.10615695
177	2.104425667
178	2.103011437
179	2.099763119
180	2.09868086
181	2.096109306
182	2.094872474
183	2.093321901
184	2.092313131
185	2.090702599
186	2.089771577
187	2.088299788
188	2.087348636
189	2.08587849
190	2.084431185
191	2.083157879
192	2.081238361
193	2.079682852
194	2.078783229
195	2.077491819
196	2.076634501
197	2.07530382
198	2.074005286
199	2.072406949
200	2.071455155
201	2.070253994
202	2.069415373
203	2.067034271
204	2.065694193
205	2.064888745
206	2.063191466
207	2.062137697
208	2.061251432
209	2.060530056
210	2.05915246
211	2.057894844
212	2.056871019
213	2.055809671
214	2.054768216
215	2.053672718
216	2.051927509
217	2.050670925
218	2.049939916
219	2.048742274
220	2.047499293
221	2.046848063
222	2.046366858
223	2.045568499
224	2.044784541
225	2.043744711
226	2.042459024
227	2.039877706
228	2.0391038
229	2.038480184
230	2.036990225
231	2.036071711
232	2.035138225
233	2.033878403
234	2.032940345
235	2.030854128
236	2.030287324
237	2.029228369
238	2.028680008
239	2.027654123
240	2.02705779
241	2.026308253
242	2.025578457
243	2.024833203
244	2.024180281
245	2.023295912
246	2.022460042
247	2.021538217
248	2.020803802
249	2.020350159
250	2.019603133
251	2.01919341
252	2.018529384
253	2.017869742
254	2.015890627
255	2.015195583
256	2.014155235
257	2.013472264
258	2.012768364
259	2.012148228
260	2.010730978
261	2.010103405
262	2.009108766
263	2.006673451
264	2.005823351
265	2.005516815
266	2.004785889
267	2.00408431
268	2.003540546
269	2.002777191
270	2.002075237
271	2.001501461
272	2.000975084
273	2.000494648
274	1.999958709
275	1.999398409
276	1.997879482
277	1.997352081
278	1.99676937
279	1.994432759
280	1.993755862
281	1.993290099
282	1.990379353
283	1.98968419
284	1.989078316
285	1.988080625
286	1.987300318
287	1.986839654
288	1.986314125
289	1.985706001
290	1.985242651
291	1.984831263
292	1.983990418
293	1.983310525
294	1.982874731
295	1.982062261
296	1.981128015
297	1.980251018
298	1.979608859
299	1.97670151
300	1.975816558
301	1.974000419
302	1.973479877
303	1.973129861
304	1.972595359
305	1.972033344
306	1.971793939
307	1.971456538
308	1.970816546
309	1.970095264
310	1.9698294
311	1.969355319
312	1.968155371
313	1.96778942
314	1.967116452
315	1.966517986
316	1.96600264
317	1.965458673
318	1.964616389
319	1.963998091
320	1.96351772
321	1.962953946
322	1.961709558
323	1.959613982
324	1.958599085
325	1.956748823
326	1.955994337
327	1.95409302
328	1.953478101
329	1.953127129
330	1.952700176
331	1.952299076
332	1.950287476
333	1.949832098
334	1.949560091
335	1.949058971
336	1.948679859
337	1.948307284
338	1.946821449
339	1.945060863
340	1.944420726
341	1.944116958
342	1.943645474
343	1.942558632
344	1.94199433
345	1.941263404
346	1.940977757
347	1.940669146
348	1.940347636
349	1.939894125
350	1.939289314
351	1.938768135
352	1.938580367
353	1.938078535
354	1.937803404
355	1.937342946
356	1.935076271
357	1.934725615
358	1.934552686
359	1.934263872
360	1.933430365
361	1.932961534
362	1.932617399
363	1.932187105
364	1.931685375
365	1.931423941
366	1.93071018
367	1.930438331
368	1.930021722
369	1.92900387
370	1.928658544
371	1.928390799
372	1.926158095
373	1.925765369
374	1.925494956
375	1.925234918
376	1.924959443
377	1.924220369
378	1.924004229
379	1.923647161
380	1.922281402
381	1.921800481
382	1.921510229
383	1.920626805
384	1.919992197
385	1.919613987
386	1.91941225
387	1.919208177
388	1.918981022
389	1.918135572
390	1.917890268
391	1.917519826
392	1.917147575
393	1.916664144
394	1.916288753
395	1.915831829
396	1.915587479
397	1.915113542
398	1.91496606
399	1.914766789
400	1.914183032
401	1.913839239
402	1.913696631
403	1.913211154
404	1.912761918
405	1.912658776
406	1.912488244
407	1.912205491
408	1.912000424
409	1.911943738
410	1.911637153
411	1.911470209
412	1.911193574
413	1.910584951
414	1.910526758
415	1.909785091
416	1.908896983
417	1.908748761
418	1.907881102
419	1.907616456
420	1.907014716
421	1.906473928
422	1.906281075
423	1.906060694
424	1.905772177
425	1.905404332
426	1.905139244
427	1.904135828
428	1.903343438
429	1.903155794
430	1.902967399
431	1.90280131
432	1.902511313
433	1.902256127
434	1.901892545
435	1.89966004
436	1.899534126
437	1.899250718
438	1.898951092
439	1.898774291
440	1.898355707
441	1.898133106
442	1.89712273
443	1.89682911
444	1.896580917
445	1.896347066
446	1.896060645
447	1.895817829
448	1.895270527
449	1.894766648
450	1.894081178
451	1.893894282
452	1.893428942
453	1.893151059
454	1.892946743
455	1.892600021
456	1.892067845
457	1.891615599
458	1.891351382
459	1.891198354
460	1.891016396
461	1.890733471
462	1.890520613
