iter	RMSE
0	2.983349031
1	2.972310108
2	2.962364329
3	2.951269061
4	2.939125682
5	2.929797027
6	2.919426337
7	2.909238615
8	2.898369637
9	2.890387611
10	2.884547166
11	2.874772699
12	2.865013829
13	2.8552756
14	2.846685136
15	2.837942525
16	2.829447574
17	2.8205172
18	2.811904816
19	2.8061513
20	2.798357439
21	2.792463354
22	2.784428945
23	2.777123924
24	2.769550663
25	2.761401019
26	2.754235779
27	2.746341471
28	2.738987049
29	2.732596847
30	2.726644225
31	2.718328763
32	2.712753293
33	2.709600378
34	2.706049326
35	2.697995188
36	2.690005783
37	2.68270633
38	2.675502745
39	2.667959973
40	2.66160183
41	2.658264673
42	2.65153998
43	2.64495463
44	2.637847839
45	2.63198001
46	2.627669048
47	2.622047923
48	2.618658579
49	2.612145765
50	2.606306135
51	2.60103197
52	2.596997973
53	2.591033654
54	2.58557427
55	2.57923339
56	2.574638963
57	2.569772513
58	2.566168218
59	2.561641821
60	2.557847649
61	2.553834283
62	2.549168257
63	2.544692172
64	2.539856142
65	2.535159304
66	2.53473013
67	2.531890796
68	2.529121974
69	2.524905753
70	2.52177286
71	2.519394245
72	2.514101983
73	2.511531345
74	2.507205008
75	2.502317444
76	2.498241073
77	2.493648466
78	2.489382051
79	2.486522591
80	2.481268797
81	2.477381276
82	2.47294899
83	2.469971819
84	2.466737622
85	2.462944887
86	2.459129831
87	2.455656015
88	2.452403055
89	2.449737311
90	2.446073214
91	2.443577265
92	2.440049908
93	2.436365089
94	2.432138719
95	2.428757172
96	2.425994915
97	2.422478293
98	2.419459332
99	2.415674793
100	2.41161102
101	2.40737037
102	2.406051621
103	2.402419305
104	2.400157574
105	2.397065988
106	2.394670422
107	2.391618964
108	2.389054732
109	2.38542663
110	2.385037343
111	2.382945408
112	2.379748363
113	2.37720527
114	2.374506977
115	2.370864086
116	2.369623898
117	2.366602781
118	2.36334601
119	2.36059617
120	2.359158248
121	2.357888884
122	2.35523002
123	2.352736348
124	2.350254885
125	2.347147023
126	2.344616239
127	2.342119139
128	2.339659675
129	2.337519259
130	2.335349657
131	2.33256236
132	2.331258877
133	2.328923494
134	2.326989176
135	2.324468132
136	2.322461074
137	2.320756485
138	2.318616921
139	2.31602468
140	2.313366673
141	2.311167924
142	2.309025831
143	2.308302497
144	2.305700977
145	2.303661674
146	2.301375501
147	2.299862892
148	2.298063911
149	2.295942001
150	2.293907998
151	2.292559621
152	2.2911933
153	2.289671351
154	2.28770539
155	2.285965203
156	2.283634337
157	2.281590688
158	2.280234763
159	2.278781435
160	2.277671573
161	2.27580841
162	2.273806199
163	2.271441693
164	2.271345089
165	2.269637313
166	2.267953138
167	2.267127464
168	2.265043153
169	2.263502708
170	2.262880449
171	2.261319537
172	2.25963256
173	2.258274216
174	2.256011804
175	2.255072609
176	2.253744657
177	2.25206986
178	2.250531583
179	2.248635157
180	2.246935492
181	2.24514575
182	2.243621322
183	2.242260098
184	2.240132193
185	2.238577462
186	2.236262275
187	2.235803899
188	2.234076154
189	2.232710198
190	2.23162784
191	2.230521403
192	2.228533763
193	2.227077101
194	2.226023521
195	2.224574743
196	2.222962737
197	2.222121618
198	2.221112337
199	2.220207085
200	2.218832606
201	2.217607754
202	2.216146634
203	2.214937852
204	2.214171432
205	2.212617698
206	2.211553307
207	2.210174426
208	2.208513331
209	2.207220498
210	2.205677289
211	2.203966609
212	2.203156279
213	2.201796115
214	2.20087696
215	2.199992011
216	2.198516796
217	2.197294033
218	2.196342909
219	2.194964471
220	2.194017782
221	2.192789279
222	2.191641545
223	2.190746743
224	2.189028183
225	2.186860421
226	2.18569732
227	2.184144233
228	2.183598304
229	2.182393297
230	2.180825225
231	2.180208638
232	2.178933843
233	2.178105128
234	2.176813859
235	2.175546342
236	2.174652664
237	2.173036125
238	2.171816994
239	2.170319046
240	2.169618452
241	2.168848005
242	2.167822186
243	2.165861965
244	2.165067456
245	2.164134229
246	2.162749193
247	2.161256557
248	2.160467324
249	2.159193124
250	2.158199139
251	2.157566125
252	2.156656986
253	2.1558841
254	2.15497559
255	2.1540531
256	2.153104077
257	2.15188898
258	2.150681695
259	2.149661667
260	2.148941942
261	2.148129218
262	2.14726036
263	2.145983597
264	2.14448444
265	2.14357164
266	2.142162243
267	2.141220799
268	2.140240147
269	2.139475319
270	2.138327006
271	2.13745736
272	2.13692838
273	2.13534868
274	2.134330065
275	2.133753676
276	2.132891643
277	2.131581735
278	2.131033132
279	2.130112721
280	2.129184221
281	2.127421849
282	2.126720778
283	2.125932545
284	2.125040416
285	2.124071592
286	2.12286692
287	2.121383281
288	2.120343256
289	2.118841954
290	2.117727471
291	2.117033141
292	2.116307336
293	2.115553
294	2.114750479
295	2.114108189
296	2.112152849
297	2.111111286
298	2.10945304
299	2.108650192
300	2.108143539
301	2.107316172
302	2.105974407
303	2.105104364
304	2.103825725
305	2.102585614
306	2.101588635
307	2.100607544
308	2.099543134
309	2.096552074
310	2.095358154
311	2.093628061
312	2.092902266
313	2.091636348
314	2.090989047
315	2.090097377
316	2.089340798
317	2.088604692
318	2.087346497
319	2.086573456
320	2.085793844
321	2.084836481
322	2.084160031
323	2.083212203
324	2.082045037
325	2.081252677
326	2.080789091
327	2.07959271
328	2.076733507
329	2.075712204
330	2.075324501
331	2.073518165
332	2.072095502
333	2.070568021
334	2.070047684
335	2.068515113
336	2.067855797
337	2.067032952
338	2.066320271
339	2.065344277
340	2.063811384
341	2.062632904
342	2.061759281
343	2.061056225
344	2.060195228
345	2.059643909
346	2.058993707
347	2.058231926
348	2.057088785
349	2.056350266
350	2.054691833
351	2.053682744
352	2.052804164
353	2.052186753
354	2.051705787
355	2.050676931
356	2.049394388
357	2.048784089
358	2.048163919
359	2.047073109
360	2.046362977
361	2.04433038
362	2.043695896
363	2.042973248
364	2.041365586
365	2.040899753
366	2.039526735
367	2.038631655
368	2.037889423
369	2.036921398
370	2.036438
371	2.035473786
372	2.034861795
373	2.033818748
374	2.03332653
375	2.032575802
376	2.031474811
377	2.030621237
378	2.0300861
379	2.029315112
380	2.028741354
381	2.027771499
382	2.026943856
383	2.026337134
384	2.025317171
385	2.024834228
386	2.024125349
387	2.02353213
388	2.022820676
389	2.022187865
390	2.021175914
391	2.020080467
392	2.019346198
393	2.018697201
394	2.018137491
395	2.017489172
396	2.017059963
397	2.016367146
398	2.015317927
399	2.014755968
400	2.014221807
401	2.013080411
402	2.012344385
403	2.011660168
404	2.011135672
405	2.010815399
406	2.009888938
407	2.009000048
408	2.007856817
409	2.007325384
410	2.006489377
411	2.005813827
412	2.005363066
413	2.002804644
414	2.002211281
415	2.001629415
416	1.999980351
417	1.998956927
418	1.998424837
419	1.995814968
420	1.995316479
421	1.994866942
422	1.994093286
423	1.993736346
424	1.993065628
425	1.992429201
426	1.991492541
427	1.990865167
428	1.989176423
429	1.988677468
430	1.987748038
431	1.986910397
432	1.986289396
433	1.985746521
434	1.985199156
435	1.984693467
436	1.984345346
437	1.983820767
438	1.982999029
439	1.9805077
440	1.980018369
441	1.978800343
442	1.978358108
443	1.977542449
444	1.9751211
445	1.974704202
446	1.974224145
447	1.973755617
448	1.972629473
449	1.972248696
450	1.971204308
451	1.970469656
452	1.970087577
453	1.96955939
454	1.969266552
455	1.968403159
456	1.968067757
457	1.967588769
458	1.96711627
459	1.96685821
460	1.96607618
461	1.965100483
462	1.964583234
463	1.964105508
464	1.963846028
465	1.962981074
466	1.962522987
467	1.960878353
468	1.960561846
469	1.960043117
470	1.959691473
471	1.959234963
472	1.958795846
473	1.95833683
474	1.95787821
475	1.957509804
476	1.955380579
477	1.954945135
478	1.954525679
479	1.952436908
480	1.951683116
481	1.9510375
482	1.950568546
483	1.950041132
484	1.949759832
485	1.949378338
486	1.948600089
487	1.948163889
488	1.947405933
489	1.947046956
490	1.945449621
491	1.944994349
492	1.943837539
493	1.943379775
494	1.943014174
495	1.942739933
496	1.942206033
497	1.94203229
498	1.941591685
499	1.94106776
500	1.940745679
501	1.940433885
502	1.940020668
503	1.939675722
504	1.939322198
505	1.93882174
506	1.938417883
507	1.938032461
508	1.93746957
509	1.93700586
