iter	Passed	Remaining
0	11	110118
1	24	123668
2	38	129163
3	52	131859
4	66	132299
5	81	135105
6	95	135782
7	107	134596
8	121	135190
9	134	134624
10	148	134895
11	162	135116
12	175	135139
13	190	136087
14	204	136077
15	218	136366
16	232	136604
17	246	136690
18	260	136940
19	274	137090
20	289	137749
21	303	137698
22	321	139283
23	335	139351
24	350	139894
25	367	141070
26	383	141620
27	397	141723
28	412	141717
29	426	141807
30	440	141716
31	455	141896
32	470	142026
33	485	142245
34	498	142033
35	513	141987
36	528	142213
37	542	142246
38	556	142118
39	570	142031
40	583	141663
41	597	141604
42	611	141669
43	625	141539
44	640	141721
45	656	141974
46	671	142305
47	687	142585
48	704	143121
49	718	142948
50	733	143056
51	748	143193
52	762	143055
53	776	142951
54	790	142894
55	803	142750
56	817	142546
57	833	142921
58	848	142910
59	862	142916
60	876	142792
61	890	142671
62	903	142564
63	916	142359
64	932	142463
65	946	142428
66	959	142215
67	972	142104
68	987	142074
69	1000	141875
70	1014	141926
71	1028	141825
72	1042	141820
73	1056	141711
74	1070	141627
75	1083	141514
76	1098	141535
77	1112	141471
78	1124	141238
79	1138	141212
80	1152	141072
81	1165	140986
82	1179	140873
83	1192	140724
84	1204	140540
85	1218	140445
86	1232	140428
87	1246	140394
88	1259	140309
89	1274	140372
90	1288	140253
91	1302	140227
92	1316	140227
93	1329	140127
94	1345	140280
95	1361	140432
96	1375	140421
97	1388	140345
98	1402	140300
99	1416	140216
100	1429	140073
101	1443	140041
102	1456	139969
103	1470	139927
104	1484	139923
105	1499	139916
106	1514	140007
107	1528	140003
108	1543	140033
109	1558	140120
110	1573	140164
111	1587	140183
112	1601	140116
113	1616	140144
114	1629	140036
115	1642	139964
116	1660	140284
117	1675	140348
118	1690	140338
119	1705	140403
120	1720	140508
121	1734	140444
122	1748	140389
123	1761	140312
124	1775	140234
125	1788	140178
126	1802	140120
127	1815	140048
128	1829	140001
129	1843	139957
130	1856	139876
131	1872	139971
132	1886	139976
133	1901	139986
134	1915	140004
135	1930	140001
136	1945	140037
137	1958	139983
138	1972	139922
139	1987	139951
140	2002	139989
141	2015	139929
142	2029	139903
143	2044	139923
144	2059	139992
145	2073	139980
146	2087	139899
147	2100	139852
148	2114	139825
149	2129	139866
150	2143	139827
151	2157	139768
152	2170	139666
153	2184	139637
154	2197	139559
155	2210	139489
156	2224	139432
157	2237	139369
158	2250	139289
159	2263	139212
160	2277	139192
161	2291	139146
162	2304	139075
163	2318	139060
164	2333	139065
165	2347	139049
166	2360	138996
167	2374	138966
168	2389	138998
169	2403	138999
170	2417	138976
171	2431	138948
172	2445	138937
173	2459	138885
174	2473	138849
175	2487	138835
176	2501	138812
177	2514	138767
178	2527	138669
179	2541	138637
180	2554	138584
181	2568	138549
182	2581	138509
183	2595	138484
184	2610	138512
185	2624	138484
186	2638	138435
187	2651	138369
188	2664	138324
189	2679	138339
190	2692	138295
191	2706	138246
192	2719	138206
193	2733	138143
194	2746	138084
195	2760	138066
196	2773	138033
197	2786	137965
198	2800	137917
199	2813	137873
200	2827	137861
201	2841	137842
202	2855	137820
203	2869	137783
204	2883	137779
205	2897	137742
206	2913	137813
207	2927	137802
208	2941	137804
209	2955	137779
210	2968	137708
211	2981	137669
212	2996	137678
213	3010	137657
214	3024	137631
215	3037	137589
216	3050	137516
217	3064	137512
218	3077	137466
219	3090	137378
220	3103	137345
221	3117	137304
222	3131	137293
223	3144	137252
224	3158	137239
225	3171	137161
226	3185	137143
227	3198	137094
228	3212	137069
229	3226	137044
230	3239	137018
231	3253	136978
232	3266	136942
233	3279	136887
234	3293	136845
235	3306	136805
236	3320	136772
237	3334	136750
238	3347	136712
239	3361	136699
240	3372	136576
241	3386	136535
242	3399	136486
243	3412	136449
244	3425	136381
245	3440	136418
246	3454	136386
247	3468	136380
248	3481	136346
249	3493	136242
250	3506	136176
251	3518	136095
252	3531	136051
253	3544	135989
254	3557	135968
255	3571	135933
256	3584	135908
257	3598	135890
258	3613	135886
259	3626	135848
260	3641	135893
261	3655	135859
262	3671	135917
263	3684	135897
264	3698	135857
265	3711	135805
266	3725	135802
267	3738	135768
268	3752	135737
269	3766	135719
270	3779	135688
271	3793	135670
272	3806	135643
273	3820	135602
274	3833	135563
275	3845	135494
276	3859	135470
277	3873	135449
278	3887	135444
279	3901	135430
280	3915	135413
281	3927	135353
282	3942	135352
283	3957	135405
284	3972	135398
285	3986	135395
286	3999	135370
287	4014	135361
288	4027	135334
289	4040	135301
290	4054	135278
291	4068	135251
292	4081	135224
293	4096	135241
294	4110	135222
295	4122	135165
296	4137	135176
297	4151	135173
298	4165	135139
299	4178	135120
300	4192	135096
301	4206	135091
302	4220	135059
303	4233	135041
304	4247	135024
305	4261	135004
306	4275	134982
307	4289	134979
308	4304	135009
309	4321	135075
310	4337	135139
311	4350	135103
312	4364	135061
313	4377	135045
314	4391	135009
315	4404	134988
316	4417	134940
317	4430	134893
318	4444	134895
319	4456	134812
320	4471	134840
321	4486	134850
322	4501	134854
323	4515	134838
324	4528	134800
325	4541	134768
326	4556	134775
327	4571	134806
328	4585	134802
329	4600	134816
330	4618	134921
331	4633	134938
332	4649	134963
333	4665	135008
334	4680	135022
335	4694	135021
336	4708	135019
337	4723	135023
338	4738	135048
339	4753	135056
340	4768	135079
341	4782	135064
342	4797	135066
343	4812	135087
344	4826	135069
345	4840	135060
346	4855	135080
347	4870	135089
348	4886	135122
349	4900	135123
350	4915	135114
351	4929	135118
352	4945	135148
353	4961	135189
354	4976	135198
355	4991	135208
356	5007	135270
357	5022	135278
358	5037	135295
359	5053	135310
360	5069	135350
361	5085	135395
362	5101	135435
363	5118	135508
364	5134	135542
365	5153	135657
366	5170	135711
367	5188	135804
368	5204	135844
369	5221	135911
370	5238	135968
371	5254	135986
372	5270	136039
373	5287	136102
374	5304	136156
375	5320	136176
376	5336	136226
377	5353	136284
378	5372	136381
379	5388	136404
380	5404	136436
381	5421	136496
382	5437	136541
383	5454	136596
384	5470	136630
385	5487	136675
386	5504	136741
387	5522	136810
388	5540	136892
389	5557	136941
390	5574	136984
391	5590	137023
392	5604	136995
393	5618	136985
394	5632	136958
395	5646	136940
396	5660	136917
397	5674	136906
398	5688	136882
399	5702	136855
400	5715	136817
401	5729	136806
402	5742	136752
403	5756	136721
404	5770	136711
405	5785	136703
406	5799	136697
407	5814	136688
408	5828	136669
409	5841	136634
410	5855	136609
411	5870	136611
412	5883	136578
413	5898	136584
414	5916	136651
415	5933	136702
416	5950	136754
417	5968	136819
418	5984	136844
419	6000	136874
420	6017	136909
421	6035	136984
422	6053	137064
423	6071	137115
424	6088	137171
425	6105	137220
426	6122	137260
427	6137	137254
428	6152	137257
429	6164	137186
430	6177	137156
431	6191	137137
432	6206	137128
433	6221	137141
434	6237	137147
435	6253	137173
436	6267	137159
437	6279	137097
438	6296	137128
439	6313	137181
440	6330	137212
441	6346	137231
442	6363	137291
443	6378	137281
444	6391	137228
445	6404	137199
446	6417	137154
447	6432	137160
448	6451	137232
449	6467	137247
450	6479	137196
451	6492	137150
452	6505	137101
453	6518	137068
454	6531	137015
455	6545	136990
456	6558	136958
457	6575	137000
458	6595	137095
459	6615	137196
460	6636	137325
461	6654	137379
462	6670	137398
463	6688	137460
464	6703	137462
465	6718	137454
466	6733	137455
467	6748	137447
468	6762	137434
469	6778	137441
470	6791	137393
471	6805	137378
472	6819	137354
473	6834	137355
474	6852	137402
475	6867	137412
476	6884	137449
477	6899	137434
478	6913	137426
479	6928	137413
480	6943	137417
481	6958	137400
482	6972	137383
483	6985	137337
484	7002	137369
485	7018	137389
486	7035	137431
487	7051	137455
488	7068	137488
489	7086	137528
490	7102	137552
491	7118	137568
492	7136	137612
493	7153	137662
494	7171	137702
495	7188	137731
496	7203	137739
497	7219	137753
498	7236	137791
499	7254	137826
500	7272	137892
501	7289	137916
502	7306	137948
503	7323	137982
504	7340	138021
505	7358	138072
506	7378	138151
507	7395	138180
508	7410	138182
509	7426	138198
510	7444	138236
511	7460	138250
512	7477	138275
513	7491	138262
514	7506	138244
515	7521	138251
516	7537	138248
517	7553	138264
518	7569	138281
519	7584	138271
520	7599	138260
521	7614	138248
522	7627	138215
523	7641	138180
524	7654	138151
525	7669	138133
526	7684	138134
527	7700	138136
528	7715	138132
529	7729	138106
530	7744	138097
531	7757	138068
532	7772	138054
533	7787	138043
534	7802	138037
535	7817	138033
536	7832	138031
537	7848	138042
538	7865	138053
539	7880	138061
540	7896	138064
541	7913	138087
542	7927	138074
543	7942	138060
544	7958	138061
545	7973	138058
546	7987	138041
547	8003	138042
548	8018	138032
549	8035	138061
550	8050	138058
551	8064	138036
552	8080	138037
553	8096	138046
554	8112	138050
555	8127	138054
556	8141	138029
557	8156	138021
558	8170	137992
559	8185	137984
560	8200	137973
561	8213	137940
562	8230	137958
563	8244	137942
564	8259	137931
565	8275	137932
566	8291	137948
567	8307	137948
568	8321	137924
569	8335	137898
570	8350	137885
571	8364	137862
572	8378	137848
573	8392	137821
574	8407	137813
575	8423	137822
576	8440	137834
577	8455	137827
578	8468	137786
579	8482	137771
580	8496	137745
581	8510	137723
582	8527	137736
583	8541	137718
584	8556	137708
585	8570	137688
586	8585	137681
587	8600	137658
588	8614	137643
589	8629	137627
590	8643	137611
591	8657	137590
592	8671	137556
593	8686	137557
594	8702	137556
595	8716	137526
596	8730	137502
597	8744	137490
598	8759	137475
599	8772	137442
600	8787	137421
601	8802	137416
602	8817	137410
603	8832	137405
604	8847	137385
605	8860	137351
606	8874	137326
607	8888	137303
608	8904	137308
609	8920	137324
610	8934	137297
611	8950	137304
612	8966	137304
613	8981	137301
614	8996	137284
615	9010	137260
616	9024	137237
617	9038	137214
618	9051	137181
619	9068	137190
620	9082	137179
621	9098	137172
622	9113	137172
623	9129	137172
624	9144	137168
625	9158	137138
626	9172	137113
627	9185	137084
628	9200	137064
629	9214	137048
630	9228	137022
631	9243	137017
